SDF assignment March 2019, simulated position coordinate readings
LZF, 12 Mar 2019
time/s xMeas/m yMeas/m
742080 -5257.07 -5290.35
742140 -5265.58 -5296.57
742200 -5268.28 -5295.76
742260 -5268.29 -5300.08
742320 -5269.89 -5299.02
742380 -5265.30 -5305.07
742440 -5261.43 -5300.78
742500 -5261.55 -5297.06
742560 -5262.55 -5292.51
742620 -5268.95 -5301.03
742680 -5265.21 -5303.45
742740 -5259.23 -5295.41
742800 -5262.44 -5296.96
742860 -5267.42 -5298.71
742920 -5264.82 -5307.00
742980 -5257.69 -5303.30
743040 -5262.16 -5295.72
743100 -5268.97 -5301.39
743160 -5262.72 -5294.31
743220 -5263.36 -5298.28
743280 -5262.38 -5294.81
743340 -5265.79 -5284.88
743400 -5264.47 -5305.48
743460 -5262.12 -5298.07
743520 -5263.71 -5296.35
743580 -5259.18 -5306.09
743640 -5261.76 -5293.96
743700 -5263.96 -5307.02
743760 -5266.84 -5302.15
743820 -5262.88 -5302.38
743880 -5265.39 -5297.65
743940 -5266.53 -5307.67
744000 -5261.68 -5302.21
744060 -5261.74 -5301.08
744120 -5269.72 -5297.30
744180 -5265.92 -5302.00
744240 -5262.80 -5295.21
744300 -5263.78 -5304.85
744360 -5261.33 -5298.86
744420 -5265.96 -5304.20
744480 -5262.03 -5306.59
744540 -5260.28 -5293.90
744600 -5262.41 -5300.77
744660 -5262.30 -5307.95
744720 -5270.93 -5301.77
744780 -5264.90 -5312.30
744840 -5266.46 -5302.03
744900 -5263.76 -5302.52
744960 -5260.18 -5293.02
745020 -5261.06 -5305.58
745080 -5266.47 -5305.96
745140 -5256.77 -5308.52
745200 -5263.52 -5299.81
745260 -5267.60 -5303.63
745320 -5262.35 -5299.57
745380 -5267.53 -5302.31
745440 -5262.36 -5304.92
745500 -5260.35 -5300.88
745560 -5258.40 -5303.02
745620 -5269.88 -5297.89
745680 -5266.71 -5297.33
745740 -5269.01 -5306.84
745800 -5263.86 -5298.65
745860 -5265.31 -5305.80
745920 -5266.97 -5303.91
745980 -5260.19 -5297.53
746040 -5260.66 -5307.76
746100 -5261.86 -5291.14
746160 -5261.95 -5299.69
746220 -5265.61 -5296.90
746280 -5265.58 -5302.57
746340 -5263.35 -5297.50
746400 -5267.03 -5298.76
746460 -5262.34 -5292.44
746520 -5266.65 -5299.28
746580 -5262.32 -5302.47
746640 -5265.79 -5304.57
746700 -5265.85 -5302.96
746760 -5265.52 -5299.39
746820 -5265.83 -5299.66
746880 -5260.51 -5299.94
746940 -5253.77 -5295.26
747000 -5267.69 -5299.07
747060 -5272.79 -5299.23
747120 -5268.79 -5291.77
747180 -5266.51 -5300.86
747240 -5269.32 -5302.93
747300 -5273.00 -5309.18
747360 -5264.78 -5294.04
747420 -5266.55 -5296.98
747480 -5267.49 -5301.68
747540 -5255.81 -5305.83
747600 -5270.28 -5300.95
747660 -5266.18 -5300.25
747720 -5254.78 -5306.66
747780 -5257.39 -5303.38
747840 -5264.91 -5304.65
747900 -5261.63 -5299.91
747960 -5265.98 -5299.09
748020 -5261.47 -5301.63
748080 -5262.09 -5299.18
748140 -5257.98 -5305.07
748200 -5257.34 -5301.28
748260 -5267.32 -5299.72
748320 -5260.78 -5302.45
748380 -5270.86 -5305.79
748440 -5267.53 -5302.13
748500 -5265.86 -5301.55
748560 -5270.23 -5292.55
748620 -5269.68 -5301.43
748680 -5272.91 -5312.18
748740 -5277.38 -5298.89
748800 -5276.16 -5300.91
748860 -5264.34 -5291.25
748920 -5283.24 -5306.28
748980 -5280.48 -5305.12
749040 -5282.06 -5298.08
749100 -5282.33 -5311.55
749160 -5285.03 -5304.61
749220 -5283.84 -5309.90
749280 -5289.78 -5302.93
749340 -5292.46 -5295.74
749400 -5290.39 -5303.47
749460 -5302.13 -5298.27
749520 -5305.01 -5302.96
749580 -5298.43 -5308.85
749640 -5302.15 -5306.96
749700 -5303.59 -5303.04
749760 -5295.85 -5305.81
749820 -5313.12 -5299.31
749880 -5308.52 -5307.04
749940 -5316.14 -5308.59
750000 -5308.26 -5305.18
750060 -5309.80 -5310.15
750120 -5316.06 -5308.64
750180 -5307.84 -5311.12
750240 -5317.19 -5313.11
750300 -5316.43 -5304.89
750360 -5322.47 -5310.73
750420 -5321.62 -5309.98
750480 -5328.51 -5304.77
750540 -5328.34 -5306.83
750600 -5328.05 -5309.52
750660 -5331.74 -5303.99
750720 -5333.31 -5313.54
750780 -5342.00 -5308.55
750840 -5337.73 -5306.33
750900 -5343.80 -5311.48
750960 -5340.53 -5313.66
751020 -5337.77 -5311.47
751080 -5341.67 -5309.58
751140 -5345.16 -5308.16
751200 -5346.18 -5307.95
751260 -5351.05 -5315.65
751320 -5355.86 -5307.63
751380 -5363.70 -5310.32
751440 -5349.50 -5310.43
751500 -5358.78 -5306.37
751560 -5358.65 -5314.66
751620 -5358.89 -5316.28
751680 -5370.92 -5313.08
751740 -5355.28 -5312.81
751800 -5362.68 -5306.22
751860 -5366.59 -5311.52
751920 -5370.92 -5312.75
751980 -5364.51 -5315.54
752040 -5369.04 -5319.10
752100 -5369.24 -5306.40
752160 -5363.60 -5310.71
752220 -5371.34 -5314.16
752280 -5375.07 -5318.81
752340 -5383.21 -5313.44
752400 -5388.22 -5313.11
752460 -5389.92 -5313.21
752520 -5382.61 -5318.87
752580 -5393.67 -5319.72
752640 -5396.95 -5315.11
752700 -5396.13 -5314.81
752760 -5394.16 -5319.73
752820 -5396.46 -5325.35
752880 -5393.47 -5316.27
752940 -5405.88 -5308.38
753000 -5399.49 -5320.35
753060 -5407.01 -5315.11
753120 -5409.41 -5310.88
753180 -5406.22 -5317.55
753240 -5404.37 -5319.62
753300 -5412.72 -5316.87
753360 -5419.46 -5320.97
753420 -5412.18 -5317.84
753480 -5419.09 -5318.01
753540 -5423.66 -5317.59
753600 -5419.78 -5326.15
753660 -5425.81 -5321.91
753720 -5426.41 -5315.52
753780 -5428.10 -5323.40
753840 -5425.08 -5317.19
753900 -5431.52 -5316.59
753960 -5429.70 -5322.51
754020 -5434.17 -5320.46
754080 -5436.24 -5312.09
754140 -5440.48 -5315.06
754200 -5441.06 -5321.04
754260 -5434.58 -5318.30
754320 -5433.73 -5318.88
754380 -5440.65 -5322.93
754440 -5445.55 -5324.52
754500 -5443.77 -5323.31
754560 -5448.30 -5322.38
754620 -5448.22 -5328.57
754680 -5451.68 -5324.04
754740 -5453.20 -5319.13
754800 -5453.91 -5322.62
754860 -5452.76 -5322.47
754920 -5454.90 -5333.07
754980 -5451.96 -5319.02
755040 -5459.45 -5317.01
755100 -5465.14 -5324.39
755160 -5467.32 -5327.49
755220 -5465.66 -5321.90
755280 -5471.97 -5333.73
755340 -5463.21 -5320.17
755400 -5469.14 -5315.90
755460 -5476.65 -5331.35
755520 -5478.49 -5329.24
755580 -5477.86 -5325.53
755640 -5483.70 -5332.93
755700 -5482.03 -5326.87
755760 -5477.61 -5324.77
755820 -5479.19 -5323.70
755880 -5490.24 -5322.37
755940 -5485.38 -5326.04
756000 -5495.18 -5325.17
756060 -5494.61 -5328.71
756120 -5492.12 -5324.61
756180 -5501.13 -5323.61
756240 -5498.50 -5324.45
756300 -5498.92 -5328.92
756360 -5502.66 -5330.76
756420 -5504.21 -5331.04
756480 -5505.77 -5318.48
756540 -5510.94 -5326.47
756600 -5506.58 -5327.20
756660 -5510.60 -5322.37
756720 -5512.04 -5327.55
756780 -5515.04 -5334.86
756840 -5517.69 -5324.96
756900 -5519.41 -5324.23
756960 -5516.12 -5328.08
757020 -5516.47 -5328.32
757080 -5519.50 -5326.77
757140 -5526.72 -5325.90
757200 -5525.79 -5326.71
757260 -5531.44 -5323.16
757320 -5528.48 -5328.04
757380 -5526.55 -5325.18
757440 -5532.08 -5338.46
757500 -5527.16 -5326.92
757560 -5528.88 -5330.90
757620 -5538.10 -5331.24
757680 -5547.78 -5329.10
757740 -5553.63 -5322.45
757800 -5538.02 -5329.96
757860 -5543.49 -5326.39
757920 -5546.04 -5330.72
757980 -5547.57 -5335.43
758040 -5551.97 -5327.87
758100 -5552.59 -5333.67
758160 -5554.29 -5327.12
758220 -5558.35 -5327.53
758280 -5554.10 -5325.82
758340 -5566.80 -5328.74
758400 -5564.36 -5329.04
758460 -5561.04 -5326.11
758520 -5570.80 -5318.75
758580 -5568.45 -5320.71
758640 -5571.52 -5336.70
758700 -5570.95 -5324.66
758760 -5576.67 -5325.27
758820 -5579.24 -5326.28
758880 -5576.65 -5322.89
758940 -5578.83 -5324.02
759000 -5586.24 -5321.32
759060 -5589.51 -5320.57
759120 -5578.28 -5319.23
759180 -5590.14 -5322.37
759240 -5584.20 -5318.17
759300 -5596.56 -5323.13
759360 -5598.76 -5318.31
759420 -5597.78 -5316.16
759480 -5600.81 -5320.06
759540 -5602.97 -5312.09
759600 -5607.07 -5324.13
759660 -5610.77 -5317.76
759720 -5608.27 -5324.69
759780 -5611.34 -5318.18
759840 -5604.00 -5322.11
759900 -5614.98 -5326.84
759960 -5610.63 -5318.19
760020 -5619.47 -5318.18
760080 -5611.14 -5320.94
760140 -5621.41 -5314.97
760200 -5616.35 -5306.60
760260 -5626.54 -5318.73
760320 -5628.82 -5315.61
760380 -5629.67 -5315.16
760440 -5627.79 -5311.75
760500 -5635.96 -5317.29
760560 -5634.86 -5318.88
760620 -5634.78 -5322.42
760680 -5638.39 -5314.56
760740 -5638.46 -5312.40
760800 -5644.41 -5317.44
760860 -5644.30 -5322.84
760920 -5652.10 -5323.78
760980 -5654.71 -5309.17
761040 -5644.46 -5311.09
761100 -5651.14 -5314.69
761160 -5650.82 -5308.95
761220 -5656.49 -5311.65
761280 -5657.14 -5308.26
761340 -5664.18 -5310.56
761400 -5668.84 -5310.58
761460 -5653.97 -5308.32
761520 -5660.75 -5306.30
761580 -5668.78 -5299.82
761640 -5668.36 -5305.74
761700 -5673.37 -5302.02
761760 -5673.29 -5303.04
761820 -5668.64 -5301.36
761880 -5679.12 -5302.53
761940 -5672.09 -5301.63
762000 -5676.65 -5307.30
762060 -5684.29 -5304.49
762120 -5680.93 -5308.19
762180 -5684.18 -5305.50
762240 -5687.99 -5296.27
762300 -5690.94 -5311.15
762360 -5692.76 -5298.39
762420 -5689.44 -5309.94
762480 -5695.26 -5305.01
762540 -5695.25 -5306.52
762600 -5703.82 -5303.49
762660 -5701.66 -5302.32
762720 -5702.96 -5303.55
762780 -5706.22 -5295.66
762840 -5705.07 -5300.55
762900 -5712.87 -5302.55
762960 -5705.79 -5304.80
763020 -5714.01 -5298.47
763080 -5719.92 -5302.28
763140 -5722.51 -5299.10
763200 -5717.15 -5297.09
763260 -5722.68 -5306.85
763320 -5728.13 -5302.24
763380 -5729.79 -5291.46
763440 -5725.45 -5300.38
763500 -5739.96 -5301.80
763560 -5725.07 -5297.56
763620 -5732.77 -5294.95
763680 -5731.67 -5293.62
763740 -5740.94 -5295.62
763800 -5734.06 -5294.23
763860 -5736.93 -5292.65
763920 -5740.08 -5295.10
763980 -5747.28 -5298.08
764040 -5743.96 -5296.85
764100 -5750.48 -5291.16
764160 -5752.09 -5289.89
764220 -5752.66 -5287.02
764280 -5757.76 -5289.66
764340 -5757.71 -5294.68
764400 -5764.74 -5287.58
764460 -5761.47 -5291.86
764520 -5759.15 -5299.65
764580 -5760.18 -5288.11
764640 -5763.92 -5285.60
764700 -5769.14 -5294.35
764760 -5770.69 -5290.86
764820 -5767.35 -5286.11
764880 -5777.88 -5289.02
764940 -5776.34 -5290.69
765000 -5782.35 -5287.10
765060 -5781.95 -5291.56
765120 -5772.52 -5283.24
765180 -5788.41 -5283.76
765240 -5780.34 -5287.80
765300 -5776.67 -5293.57
765360 -5788.12 -5287.87
765420 -5789.16 -5296.25
765480 -5790.61 -5289.02
765540 -5798.49 -5287.12
765600 -5796.93 -5285.79
765660 -5800.27 -5285.31
765720 -5802.64 -5280.12
765780 -5801.40 -5273.08
765840 -5797.66 -5280.17
765900 -5796.47 -5283.88
765960 -5797.70 -5278.27
766020 -5798.73 -5284.91
766080 -5800.39 -5275.41
766140 -5796.42 -5272.67
766200 -5797.86 -5280.79
766260 -5796.03 -5276.05
766320 -5790.77 -5262.86
766380 -5793.99 -5273.20
766440 -5792.44 -5270.13
766500 -5797.56 -5279.08
766560 -5783.95 -5267.98
766620 -5792.85 -5266.79
766680 -5794.00 -5265.24
766740 -5789.09 -5261.65
766800 -5786.76 -5266.89
766860 -5784.36 -5258.87
766920 -5788.33 -5260.29
766980 -5787.75 -5259.38
767040 -5779.31 -5257.47
767100 -5787.39 -5254.46
767160 -5783.99 -5261.05
767220 -5781.54 -5253.08
767280 -5786.60 -5246.15
767340 -5781.87 -5254.15
767400 -5786.73 -5249.28
767460 -5782.66 -5251.92
767520 -5777.99 -5249.11
767580 -5779.42 -5245.53
767640 -5780.75 -5247.12
767700 -5785.29 -5248.41
767760 -5774.61 -5249.20
767820 -5777.68 -5243.92
767880 -5777.30 -5244.91
767940 -5773.07 -5236.84
768000 -5769.44 -5231.91
768060 -5776.82 -5238.95
768120 -5773.74 -5231.65
768180 -5773.78 -5239.06
768240 -5765.05 -5233.67
768300 -5774.22 -5222.42
768360 -5767.26 -5223.62
768420 -5771.00 -5220.08
768480 -5767.38 -5218.86
768540 -5765.38 -5221.09
768600 -5764.39 -5208.52
768660 -5768.78 -5212.26
768720 -5757.20 -5203.10
768780 -5751.82 -5197.76
768840 -5753.36 -5207.75
768900 -5757.00 -5202.98
768960 -5755.34 -5195.63
769020 -5750.29 -5189.24
769080 -5751.23 -5184.28
769140 -5749.87 -5188.90
769200 -5747.34 -5177.57
769260 -5742.77 -5175.65
769320 -5749.52 -5173.76
769380 -5745.08 -5167.41
769440 -5737.42 -5167.22
769500 -5735.59 -5159.21
769560 -5734.19 -5161.23
769620 -5735.39 -5159.87
769680 -5731.17 -5157.74
769740 -5736.38 -5152.31
769800 -5729.65 -5143.36
769860 -5726.09 -5144.26
769920 -5732.00 -5148.25
769980 -5732.54 -5145.55
770040 -5730.18 -5142.31
770100 -5724.03 -5139.20
770160 -5718.73 -5131.05
770220 -5722.06 -5129.31
770280 -5720.99 -5119.96
770340 -5719.19 -5124.48
770400 -5723.20 -5131.39
770460 -5723.84 -5117.72
770520 -5715.36 -5123.57
770580 -5712.59 -5132.06
770640 -5722.08 -5127.50
770700 -5721.35 -5125.34
770760 -5717.95 -5128.79
770820 -5722.16 -5126.24
770880 -5716.71 -5137.65
770940 -5721.25 -5135.63
771000 -5719.82 -5137.73
771060 -5728.20 -5130.80
771120 -5717.07 -5141.46
771180 -5724.37 -5135.52
771240 -5735.12 -5147.52
771300 -5728.81 -5144.55
771360 -5731.82 -5147.42
771420 -5729.03 -5153.58
771480 -5730.46 -5154.74
771540 -5726.62 -5155.50
771600 -5733.05 -5157.68
771660 -5728.79 -5153.73
771720 -5727.46 -5153.76
771780 -5727.83 -5154.72
771840 -5728.48 -5160.25
771900 -5738.19 -5155.80
771960 -5740.36 -5164.55
772020 -5735.55 -5163.67
772080 -5728.23 -5166.46
772140 -5727.22 -5162.42
772200 -5734.83 -5170.19
772260 -5735.71 -5171.72
772320 -5735.98 -5169.06
772380 -5742.77 -5168.97
772440 -5740.02 -5170.88
772500 -5731.98 -5175.22
772560 -5738.94 -5172.64
772620 -5740.63 -5176.85
772680 -5741.29 -5174.93
772740 -5739.02 -5169.15
772800 -5738.64 -5184.58
772860 -5745.71 -5179.59
772920 -5745.75 -5178.92
772980 -5744.71 -5185.21
773040 -5732.14 -5185.44
773100 -5747.85 -5185.38
773160 -5740.50 -5190.96
773220 -5743.51 -5195.10
773280 -5747.34 -5198.96
773340 -5751.91 -5199.08
773400 -5738.71 -5195.62
773460 -5746.04 -5196.07
773520 -5741.67 -5192.95
773580 -5755.20 -5202.06
773640 -5748.40 -5197.33
773700 -5754.94 -5206.68
773760 -5749.00 -5212.75
773820 -5748.72 -5208.58
773880 -5743.47 -5208.70
773940 -5751.59 -5215.14
774000 -5753.89 -5212.27
774060 -5751.05 -5208.88
774120 -5752.58 -5214.71
774180 -5756.74 -5213.83
774240 -5749.13 -5212.07
774300 -5758.71 -5216.29
774360 -5755.14 -5214.82
774420 -5753.37 -5221.26
774480 -5757.87 -5230.42
774540 -5755.51 -5226.17
774600 -5761.19 -5224.07
774660 -5757.32 -5219.58
774720 -5756.41 -5221.93
774780 -5751.16 -5233.04
774840 -5758.99 -5229.14
774900 -5755.91 -5229.43
774960 -5762.15 -5237.56
775020 -5762.57 -5233.18
775080 -5761.03 -5238.37
775140 -5764.34 -5239.14
775200 -5760.82 -5245.60
775260 -5766.63 -5242.58
775320 -5766.38 -5242.75
775380 -5768.02 -5248.97
775440 -5771.56 -5242.49
775500 -5762.96 -5252.14
